Rank,Country,Score,GDP,Social,LifeExpectancy,FreedomOfChoice,Generosity,Corruption
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
-,
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
